domain,fake,satire,bias,conspiracy,state,junksci,hate,clickbait,unreliable,political,reliable
lewrockwell.com,0,0,3956,0,0,0,0,0,0,0,0
liberalamerica.org,0,0,0,0,0,0,0,5287,0,0,0
liberalbias.com,0,26,0,0,0,0,0,0,0,0,0
liberaldarkness.com,0,3,0,0,0,0,0,0,0,0,0
libertynews.com,0,0,0,0,0,0,0,0,624,0,0
libertytalk.fm,0,0,0,2,0,0,0,0,0,0,0
libertyunyielding.com,0,0,2088,0,0,0,0,0,0,0,0
libertyvideos.org,0,0,0,4,0,0,0,0,0,0,0
lifenews.com,0,0,5590,0,0,0,0,0,0,0,0
lifesitenews.com,0,0,0,0,0,0,0,3393,0,0,0
lifezette.com,0,0,0,0,0,0,0,9149,0,0,0
lightlybraisedturnip.com,0,0,0,0,0,0,0,0,0,0,0
livefreelivenatural.com,0,0,0,0,0,0,0,0,0,0,0
loanpride.com,0,0,0,0,0,0,0,0,0,0,0
lovethispic.com,0,0,0,0,0,0,0,38,0,0,0
lushforlife.com,0,2,0,0,0,0,0,0,0,0,0
m.mlb.com,0,0,0,0,0,0,0,0,0,0,352
madpatriots.com,0,0,0,0,0,0,0,0,1,0,0
madworldnews.com,0,0,0,0,0,0,0,0,97,0,0
meanlefthook.com,0,0,24,0,0,0,0,0,0,0,0
metropolitanworlds.com,3,0,0,0,0,0,0,0,0,0,0
mintpressnews.com,0,0,0,0,0,0,0,0,0,3166,0
money.cnn.com,0,0,0,0,0,0,0,0,0,0,99
moonofalabama.org,0,0,293,0,0,0,0,0,0,0,0
morningledger.com,0,0,0,0,0,0,0,0,1451,0,0
morningnewsusa.com,0,0,0,0,0,0,0,0,1683,0,0
motherboard.vice.com,0,0,0,0,0,0,0,0,0,0,88
mrc.org,0,0,0,0,0,0,0,0,0,171,0
music.yahoo.com,0,0,0,0,0,0,0,0,0,0,413
nakedcapitalism.com,0,0,0,0,0,0,0,0,0,1011,0
nasamoonhoax.com,0,0,0,5,0,0,0,0,0,0,0
nationalreport.net,0,14,0,0,0,0,0,0,0,0,0
nationalreview.com,0,0,0,0,0,0,0,0,0,37377,0
nationalvanguard.org,0,0,0,0,0,0,644,0,0,0,0
naturalblaze.com,0,0,0,0,0,385,0,0,0,0,0
naturalnews.com,0,0,0,0,0,6746,0,0,0,0,0
naturalnewsblogs.com,0,0,0,0,0,2201,0,0,0,0,0
ncscooper.com,0,139,0,0,0,0,0,0,0,0,0
neonnettle.com,0,0,0,284,0,0,0,0,0,0,0
newcenturytimes.com,0,0,0,0,0,0,0,0,3,0,0
newcoldwar.org,0,0,0,0,0,0,0,0,0,15,0
news.abs-cbn.com,0,0,0,0,0,0,0,0,0,0,195
news.yahoo.com,0,0,0,0,0,0,0,0,0,0,1894
news4ktla.com,1,0,0,0,0,0,0,0,0,0,0
newsbreakers.org,0,3,0,0,0,0,0,0,0,0,0
newsfrompolitics.com,34,0,0,0,0,0,0,0,0,0,0
newsinfo.inquirer.net,0,0,0,0,0,0,0,0,0,0,174
newslo.com,267,0,0,0,0,0,0,0,0,0,0
newsmagazine.com,1,0,0,0,0,0,0,0,0,0,0
newsmutiny.com,0,44,0,0,0,0,0,0,0,0,0
newstarget.com,0,0,0,3618,0,0,0,0,0,0,0
newsthump.com,0,25,0,0,0,0,0,0,0,0,0
newstoad.net,0,4,0,0,0,0,0,0,0,0,0
newswire-24.com,0,0,0,0,0,0,0,0,0,0,0
newswithviews.com,646,0,0,0,0,0,0,0,0,0,0
nodisinfo.com,0,0,0,35,0,0,0,0,0,0,0
northcrane.com,0,0,0,0,0,0,0,0,4,0,0
notallowedto.com,0,0,0,0,0,0,0,3,0,0,0
now8news.com,2,0,0,0,0,0,0,0,0,0,0
nowtheendbegins.com,0,0,0,67,0,0,0,0,0,0,0
nutritionfacts.org,0,0,0,0,0,0,0,0,0,0,722
nypost.com,0,0,0,0,0,0,0,0,0,0,365
nytimes.com,0,0,0,0,0,0,0,0,0,0,176144
nz.news.yahoo.com,0,0,0,0,0,0,0,0,0,0,115
nz.sports.yahoo.com,0,0,0,0,0,0,0,0,0,0,247
oann.com,0,0,0,0,0,0,0,0,0,156,0
oathkeepers.org,0,0,405,0,0,0,0,0,0,0,0
observer.com,0,0,0,0,0,0,0,0,0,4179,0
occupydemocrats.com,0,0,0,0,0,0,0,147,0,0,0
off-guardian.org,0,0,138,0,0,0,0,0,0,0,0
oftwominds.com,0,0,150,0,0,0,0,0,0,0,0
oilgeopolitics.net,0,0,0,13,0,0,0,0,0,0,0
onepoliticalplaza.com,8,0,0,0,0,0,0,0,0,0,0
online.wsj.com,0,0,0,0,0,0,0,0,0,0,208
onlineconservativepress.com,22,0,0,0,0,0,0,0,0,0,0
opednews.com,0,0,0,0,0,0,0,0,0,0,0
openmagazines.com,133,0,0,0,0,0,0,0,0,0,0
openmindmagazine.com,0,0,13,0,0,0,0,0,0,0,0
orientalreview.org,0,0,310,0,0,0,0,0,0,0,0
other98.com,0,0,0,0,0,0,0,4,0,0,0
palmerreport.com,0,0,15,0,0,0,0,0,0,0,0
pamelageller.com,0,0,0,1085,0,0,0,0,0,0,0
patriotarchives.blogspot.com,0,0,0,0,0,0,0,0,0,0,0
patriotchronicle.com,0,0,97,0,0,0,0,0,0,0,0
patriotnewsdaily.com,0,11,0,0,0,0,0,0,0,0,0
patriotpost.us,0,0,1708,0,0,0,0,0,0,0,0
patriotrising.com,0,0,5,0,0,0,0,0,0,0,0
paulcraigroberts.org,0,0,156,0,0,0,0,0,0,0,0
people.com,0,0,0,0,0,0,0,0,0,0,245
pjmedia.com,0,0,0,0,0,0,0,0,0,6188,0
platosguns.com,0,0,14,0,0,0,0,0,0,0,0
policestateusa.com,0,0,0,0,0,0,0,0,0,0,0
policyreview.info,0,0,0,0,0,0,0,0,0,0,0
politicalblindspot.com,0,0,0,327,0,0,0,0,0,0,0
politicalcult.com,0,0,286,0,0,0,0,0,0,0,0
politicalsitenews.com,49,0,0,0,0,0,0,0,0,0,0
politicops.com,0,386,0,0,0,0,0,0,0,0,0
politicot.com,0,81,0,0,0,0,0,0,0,0,0
politicsinformation.com,0,0,0,0,0,0,0,0,0,0,0
politicsinusa.com,0,0,0,0,0,0,0,0,0,0,0
politicususa.com,0,0,0,0,0,0,0,1577,0,0,0
powerlineblog.com,0,0,0,0,0,0,0,0,0,0,0
pravda.ru,0,0,10974,0,0,0,0,0,0,0,0
pravdareport.com,0,0,1071,0,0,0,0,0,0,0,0
prepperwebsite.com,0,0,0,50,0,0,0,0,0,0,0
president45donaldtrump.com,34,0,0,0,0,0,0,0,0,0,0
presstv.com,0,0,4167,0,0,0,0,0,0,0,0
prisonplanet.com,0,0,0,387,0,0,0,0,0,0,0
prntly.com,75,0,0,0,0,0,0,0,0,0,0
proamericanews.com,1,0,0,0,0,0,0,0,0,0,0
profit.ndtv.com,0,0,0,0,0,0,0,0,0,0,172
projectveritas.com,0,0,278,0,0,0,0,0,0,0,0
proudemocrat.com,0,0,0,0,0,0,0,0,0,21,0
qpolitical.com,0,0,93,0,0,0,0,0,0,0,0
randpaulreview.com,0,0,0,0,0,0,0,0,0,0,0
rawstory.com,0,0,0,0,0,0,0,0,0,7059,0
rbth.com,0,0,0,0,0,0,0,0,0,0,0
readconservatives.news,0,0,2,0,0,0,0,0,0,0,0
readynutrition.com,0,0,0,0,0,0,0,0,0,0,0
realfarmacy.com,0,0,0,0,0,857,0,0,0,0,0
realnewsrightnow.com,277,0,0,0,0,0,0,0,0,0,0
realtimepolitics.com,0,0,6,0,0,0,0,0,0,0,0
